Report date,Delay local link (-),Delay local link (+),Cases with delay - local link (-),Cases with delay - local link (+),Local link (+),Local link (-)
2020-11-17,83.0,60.0,15.0,15.0,4.0,5.533333333333333
2020-11-18,112.0,138.0,21.0,36.0,3.8333333333333335,5.333333333333333
2020-11-19,151.0,241.0,27.0,68.0,3.5441176470588234,5.592592592592593
2020-11-20,156.0,342.0,31.0,103.0,3.320388349514563,5.032258064516129
2020-11-21,174.0,469.0,37.0,146.0,3.212328767123288,4.702702702702703
2020-11-22,204.0,585.0,48.0,189.0,3.0952380952380953,4.25
2020-11-23,235.0,745.0,56.0,234.0,3.1837606837606836,4.196428571428571
2020-11-24,239.0,879.0,60.0,278.0,3.161870503597122,3.9833333333333334
2020-11-25,268.0,909.0,68.0,291.0,3.1237113402061856,3.9411764705882355
2020-11-26,323.0,1027.0,84.0,330.0,3.1121212121212123,3.8452380952380953
2020-11-27,342.0,1061.0,87.0,331.0,3.205438066465257,3.9310344827586206
2020-11-28,431.0,1046.0,98.0,322.0,3.248447204968944,4.3979591836734695
2020-11-29,459.0,1045.0,101.0,317.0,3.2965299684542586,4.544554455445544
2020-11-30,544.0,1009.0,117.0,305.0,3.3081967213114756,4.64957264957265
2020-12-01,680.0,1080.0,137.0,312.0,3.4615384615384617,4.963503649635037
2020-12-02,742.0,1120.0,147.0,324.0,3.45679012345679,5.0476190476190474
2020-12-03,822.0,1020.0,156.0,291.0,3.5051546391752577,5.269230769230769
2020-12-04,923.0,1024.0,173.0,288.0,3.5555555555555554,5.335260115606936
2020-12-05,951.0,1082.0,179.0,304.0,3.5592105263157894,5.312849162011173
2020-12-06,1041.0,1137.0,194.0,313.0,3.63258785942492,5.365979381443299
2020-12-07,1108.0,1211.0,201.0,330.0,3.66969696969697,5.512437810945274
2020-12-08,1098.0,1108.0,202.0,305.0,3.6327868852459018,5.435643564356436
2020-12-09,1032.0,1105.0,190.0,297.0,3.7205387205387206,5.431578947368421
2020-12-10,1084.0,1107.0,197.0,295.0,3.752542372881356,5.50253807106599
2020-12-11,1103.0,1066.0,204.0,287.0,3.7142857142857144,5.4068627450980395
2020-12-12,1128.0,1081.0,206.0,278.0,3.8884892086330933,5.475728155339806
2020-12-13,1104.0,1051.0,202.0,269.0,3.907063197026022,5.465346534653466
2020-12-14,1085.0,1074.0,196.0,269.0,3.992565055762082,5.535714285714286
2020-12-15,1078.0,1073.0,190.0,263.0,4.079847908745247,5.673684210526316
2020-12-16,1244.0,1145.0,215.0,271.0,4.2250922509225095,5.786046511627907
2020-12-17,1193.0,1183.0,202.0,272.0,4.349264705882353,5.905940594059406
2020-12-18,1173.0,1178.0,194.0,278.0,4.237410071942446,6.046391752577319
2020-12-19,1087.0,1096.0,179.0,262.0,4.183206106870229,6.072625698324022
2020-12-20,1068.0,1027.0,168.0,246.0,4.17479674796748,6.357142857142857
2020-12-21,1084.0,876.0,168.0,216.0,4.055555555555555,6.4523809523809526
2020-12-22,1057.0,826.0,165.0,214.0,3.8598130841121496,6.406060606060606
2020-12-23,920.0,691.0,146.0,190.0,3.636842105263158,6.301369863013699
2020-12-24,858.0,658.0,141.0,188.0,3.5,6.085106382978723
2020-12-25,795.0,645.0,133.0,178.0,3.6235955056179776,5.977443609022556
2020-12-26,788.0,625.0,134.0,173.0,3.61271676300578,5.880597014925373
2020-12-27,743.0,648.0,133.0,177.0,3.6610169491525424,5.586466165413534
2020-12-28,642.0,704.0,124.0,188.0,3.74468085106383,5.17741935483871
2020-12-29,606.0,684.0,114.0,182.0,3.758241758241758,5.315789473684211
2020-12-30,603.0,708.0,103.0,178.0,3.9775280898876404,5.854368932038835
2020-12-31,580.0,627.0,97.0,159.0,3.943396226415094,5.979381443298969
2021-01-01,515.0,599.0,83.0,157.0,3.8152866242038215,6.204819277108434
2021-01-02,499.0,571.0,82.0,152.0,3.7565789473684212,6.085365853658536
2021-01-03,469.0,502.0,75.0,135.0,3.7185185185185183,6.253333333333333
2021-01-04,417.0,412.0,62.0,118.0,3.4915254237288136,6.725806451612903
2021-01-05,436.0,406.0,68.0,113.0,3.5929203539823007,6.411764705882353
2021-01-06,478.0,405.0,78.0,121.0,3.347107438016529,6.128205128205129
2021-01-07,423.0,407.0,71.0,116.0,3.5086206896551726,5.957746478873239
2021-01-08,457.0,381.0,78.0,108.0,3.5277777777777777,5.858974358974359
2021-01-09,468.0,422.0,78.0,120.0,3.5166666666666666,6.0
2021-01-10,454.0,450.0,77.0,131.0,3.435114503816794,5.896103896103896
2021-01-11,473.0,433.0,85.0,124.0,3.4919354838709675,5.564705882352941
2021-01-12,394.0,432.0,76.0,123.0,3.5121951219512195,5.184210526315789
2021-01-13,320.0,367.0,68.0,115.0,3.1913043478260867,4.705882352941177
2021-01-14,342.0,358.0,75.0,121.0,2.958677685950413,4.56
2021-01-15,428.0,427.0,94.0,145.0,2.9448275862068964,4.553191489361702
2021-01-16,436.0,372.0,105.0,133.0,2.7969924812030076,4.152380952380953
2021-01-17,510.0,398.0,120.0,140.0,2.842857142857143,4.25
2021-01-18,526.0,457.0,122.0,157.0,2.910828025477707,4.311475409836065
2021-01-19,566.0,454.0,127.0,161.0,2.8198757763975157,4.456692913385827
2021-01-20,651.0,490.0,143.0,168.0,2.9166666666666665,4.5524475524475525
2021-01-21,670.0,539.0,148.0,180.0,2.9944444444444445,4.527027027027027
2021-01-22,677.0,488.0,145.0,161.0,3.031055900621118,4.6689655172413795
2021-01-23,687.0,552.0,140.0,177.0,3.1186440677966103,4.9071428571428575
2021-01-24,701.0,559.0,137.0,169.0,3.3076923076923075,5.116788321167883
2021-01-25,730.0,537.0,138.0,156.0,3.4423076923076925,5.2898550724637685
2021-01-26,730.0,604.0,134.0,166.0,3.63855421686747,5.447761194029851
2021-01-27,597.0,552.0,110.0,148.0,3.72972972972973,5.427272727272728
2021-01-28,578.0,520.0,104.0,136.0,3.823529411764706,5.5576923076923075
2021-01-29,477.0,500.0,85.0,128.0,3.90625,5.6117647058823525
2021-01-30,424.0,425.0,72.0,109.0,3.8990825688073394,5.888888888888889
2021-01-31,336.0,364.0,59.0,95.0,3.831578947368421,5.694915254237288
2021-02-01,280.0,330.0,52.0,88.0,3.75,5.384615384615385
2021-02-02,236.0,271.0,48.0,76.0,3.5657894736842106,4.916666666666667
2021-02-03,247.0,281.0,50.0,76.0,3.6973684210526314,4.94
2021-02-04,189.0,259.0,38.0,72.0,3.5972222222222223,4.973684210526316
2021-02-05,216.0,261.0,42.0,71.0,3.676056338028169,5.142857142857143
2021-02-06,200.0,273.0,42.0,72.0,3.7916666666666665,4.761904761904762
2021-02-07,198.0,284.0,42.0,76.0,3.736842105263158,4.714285714285714
2021-02-08,202.0,272.0,40.0,75.0,3.6266666666666665,5.05
2021-02-09,213.0,242.0,41.0,68.0,3.5588235294117645,5.195121951219512
2021-02-10,205.0,217.0,38.0,66.0,3.287878787878788,5.394736842105263
